FlightID,Airline,Origin,Destination,ScheduledDeparture,DelayMinutes,DelayCause
AI1000,SpiceJet,DEL,COK,2023-01-01 00:00:00,16,ATC Congestion
AI1001,Go First,MAA,HYD,2023-01-01 01:00:00,20,Technical
AI1002,Vistara,PNQ,GOI,2023-01-01 02:00:00,14,Security
AI1004,Go First,COK,GOI,2023-01-01 04:00:00,20,ATC Congestion
AI1005,Air India,CCU,BOM,2023-01-01 05:00:00,13,Security
AI1006,Vistara,MAA,AMD,2023-01-01 06:00:00,18,ATC Congestion
AI1007,Vistara,HYD,AMD,2023-01-01 07:00:00,12,Weather
AI1008,Vistara,BOM,PNQ,2023-01-01 08:00:00,17,Technical
AI1009,Go First,HYD,AMD,2023-01-01 09:00:00,20,Security
AI1010,SpiceJet,COK,BLR,2023-01-01 10:00:00,21,Technical
AI1011,Vistara,COK,CCU,2023-01-01 11:00:00,17,ATC Congestion
AI1012,Akasa Air,BLR,DEL,2023-01-01 12:00:00,15,ATC Congestion
AI1013,Go First,COK,PNQ,2023-01-01 13:00:00,12,Technical
AI1015,SpiceJet,AMD,GOI,2023-01-01 15:00:00,12,Crew
AI1016,Akasa Air,MAA,DEL,2023-01-01 16:00:00,9,Weather
AI1017,Akasa Air,HYD,DEL,2023-01-01 17:00:00,25,Security
AI1018,Air India,AMD,PNQ,2023-01-01 18:00:00,20,Weather
AI1019,SpiceJet,PNQ,BOM,2023-01-01 19:00:00,19,ATC Congestion
AI1020,Go First,BOM,MAA,2023-01-01 20:00:00,21,Weather
AI1021,IndiGo,DEL,AMD,2023-01-01 21:00:00,16,ATC Congestion
AI1022,SpiceJet,HYD,AMD,2023-01-01 22:00:00,12,Technical
AI1023,Air India,AMD,BLR,2023-01-01 23:00:00,8,Technical
AI1024,Akasa Air,BOM,PNQ,2023-01-02 00:00:00,16,Weather
AI1026,SpiceJet,DEL,CCU,2023-01-02 02:00:00,19,Weather
AI1027,IndiGo,DEL,CCU,2023-01-02 03:00:00,12,Crew
AI1029,Vistara,MAA,PNQ,2023-01-02 05:00:00,14,ATC Congestion
AI1031,Air India,DEL,AMD,2023-01-02 07:00:00,23,ATC Congestion
AI1032,SpiceJet,DEL,COK,2023-01-02 08:00:00,18,Weather
AI1033,SpiceJet,AMD,HYD,2023-01-02 09:00:00,15,ATC Congestion
AI1034,Akasa Air,COK,DEL,2023-01-02 10:00:00,14,Crew
AI1035,Akasa Air,BOM,HYD,2023-01-02 11:00:00,16,Technical
AI1036,Akasa Air,BLR,PNQ,2023-01-02 12:00:00,8,Weather
AI1037,Vistara,BOM,HYD,2023-01-02 13:00:00,13,Security
AI1038,SpiceJet,BLR,CCU,2023-01-02 14:00:00,12,Technical
AI1039,SpiceJet,PNQ,GOI,2023-01-02 15:00:00,10,Security
AI1041,Vistara,COK,MAA,2023-01-02 17:00:00,20,Technical
AI1042,Go First,AMD,PNQ,2023-01-02 18:00:00,19,Weather
AI1043,Vistara,COK,DEL,2023-01-02 19:00:00,19,Weather
AI1044,Go First,COK,HYD,2023-01-02 20:00:00,12,Reactionary
AI1045,IndiGo,COK,CCU,2023-01-02 21:00:00,14,ATC Congestion
AI1047,SpiceJet,BLR,COK,2023-01-02 23:00:00,18,Technical
AI1048,IndiGo,GOI,MAA,2023-01-03 00:00:00,20,Weather
AI1049,SpiceJet,PNQ,COK,2023-01-03 01:00:00,16,Weather
AI1050,Akasa Air,HYD,DEL,2023-01-03 02:00:00,15,ATC Congestion
AI1051,Air India,COK,CCU,2023-01-03 03:00:00,11,Reactionary
AI1052,Air India,MAA,CCU,2023-01-03 04:00:00,10,ATC Congestion
AI1053,IndiGo,BOM,HYD,2023-01-03 05:00:00,15,ATC Congestion
AI1056,Air India,GOI,AMD,2023-01-03 08:00:00,16,Technical
AI1057,SpiceJet,MAA,AMD,2023-01-03 09:00:00,16,Weather
AI1058,SpiceJet,GOI,MAA,2023-01-03 10:00:00,10,Security
AI1060,SpiceJet,COK,BOM,2023-01-03 12:00:00,10,ATC Congestion
AI1061,Go First,MAA,BLR,2023-01-03 13:00:00,17,Technical
AI1062,Vistara,GOI,BLR,2023-01-03 14:00:00,17,ATC Congestion
AI1063,Akasa Air,AMD,HYD,2023-01-03 15:00:00,10,Reactionary
AI1064,IndiGo,BLR,HYD,2023-01-03 16:00:00,16,Technical
AI1065,SpiceJet,DEL,COK,2023-01-03 17:00:00,15,Weather
AI1066,Air India,BLR,MAA,2023-01-03 18:00:00,13,Technical
AI1068,Air India,BOM,COK,2023-01-03 20:00:00,15,Weather
AI1069,Akasa Air,DEL,AMD,2023-01-03 21:00:00,13,Reactionary
AI1070,Akasa Air,PNQ,CCU,2023-01-03 22:00:00,17,Crew
AI1071,Akasa Air,AMD,CCU,2023-01-03 23:00:00,24,Reactionary
AI1072,Air India,PNQ,AMD,2023-01-04 00:00:00,21,Technical
AI1073,SpiceJet,MAA,PNQ,2023-01-04 01:00:00,16,Technical
AI1074,Akasa Air,DEL,COK,2023-01-04 02:00:00,23,Weather
AI1075,Go First,PNQ,COK,2023-01-04 03:00:00,19,ATC Congestion
AI1076,Air India,PNQ,AMD,2023-01-04 04:00:00,15,Security
AI1077,Air India,GOI,BOM,2023-01-04 05:00:00,16,ATC Congestion
AI1078,SpiceJet,BLR,GOI,2023-01-04 06:00:00,19,Security
AI1079,Air India,GOI,DEL,2023-01-04 07:00:00,5,Crew
AI1080,Air India,DEL,AMD,2023-01-04 08:00:00,14,Weather
AI1081,Akasa Air,DEL,HYD,2023-01-04 09:00:00,16,Technical
AI1083,Akasa Air,GOI,MAA,2023-01-04 11:00:00,13,ATC Congestion
AI1084,Akasa Air,CCU,AMD,2023-01-04 12:00:00,14,Security
AI1085,SpiceJet,BLR,MAA,2023-01-04 13:00:00,10,Technical
AI1086,IndiGo,DEL,AMD,2023-01-04 14:00:00,17,Weather
AI1087,Akasa Air,HYD,COK,2023-01-04 15:00:00,15,Technical
AI1088,Go First,GOI,DEL,2023-01-04 16:00:00,8,Reactionary
AI1089,Go First,BLR,COK,2023-01-04 17:00:00,11,Weather
AI1091,Go First,PNQ,CCU,2023-01-04 19:00:00,16,ATC Congestion
AI1092,Air India,HYD,BLR,2023-01-04 20:00:00,18,Crew
AI1093,IndiGo,BLR,AMD,2023-01-04 21:00:00,15,Crew
AI1094,SpiceJet,COK,GOI,2023-01-04 22:00:00,16,ATC Congestion
AI1095,SpiceJet,MAA,CCU,2023-01-04 23:00:00,14,ATC Congestion
AI1096,SpiceJet,MAA,PNQ,2023-01-05 00:00:00,16,Crew
AI1097,Go First,BLR,DEL,2023-01-05 01:00:00,12,Technical
AI1098,IndiGo,GOI,MAA,2023-01-05 02:00:00,14,Crew
AI1099,Go First,HYD,MAA,2023-01-05 03:00:00,19,Weather
AI1100,Go First,MAA,COK,2023-01-05 04:00:00,18,Security
AI1102,IndiGo,MAA,CCU,2023-01-05 06:00:00,13,Reactionary
AI1105,SpiceJet,PNQ,DEL,2023-01-05 09:00:00,14,Technical
AI1106,Vistara,MAA,CCU,2023-01-05 10:00:00,16,ATC Congestion
